city_name,state,latitude,longitude,pincode,district,is_metro,is_capital,population,area_sq_km,alternate_names
Mumbai,Maharashtra,19.0760,72.8777,400001,Mumbai,true,false,20411000,603.4,"Bombay"
Delhi,Delhi,28.6139,77.2090,110001,New Delhi,true,true,32941000,1484,"New Delhi,NCR"
Bengaluru,Karnataka,12.9716,77.5946,560001,Bengaluru Urban,true,true,13193000,741,"Bangalore,Silicon Valley of India"
Hyderabad,Telangana,17.3850,78.4867,500001,Hyderabad,true,true,10004000,650,"Cyberabad,City of Pearls"
Chennai,Tamil Nadu,13.0827,80.2707,600001,Chennai,true,true,11503000,426,"Madras"
Kolkata,West Bengal,22.5726,88.3639,700001,Kolkata,true,true,15134000,205,"Calcutta,City of Joy"
Pune,Maharashtra,18.5204,73.8567,411001,Pune,false,false,6987000,331.26,"Oxford of the East"
Ahmedabad,Gujarat,23.0225,72.5714,380001,Ahmedabad,false,false,8253000,464,"Amdavad"
Jaipur,Rajasthan,26.9124,75.7873,302001,Jaipur,false,true,3073000,467,"Pink City"
Lucknow,Uttar Pradesh,26.8467,80.9462,226001,Lucknow,false,true,3382000,349,"City of Nawabs"
Bhopal,Madhya Pradesh,23.2599,77.4126,462001,Bhopal,false,true,2368000,285.88,"City of Lakes"
Chandigarh,Punjab,30.7333,76.7794,160001,Chandigarh,false,true,1055000,114,"The Beautiful City"
Thiruvananthapuram,Kerala,8.5241,76.9366,695001,Thiruvananthapuram,false,true,1687000,214.86,"Trivandrum"
Guwahati,Assam,26.1445,91.7362,781001,Kamrup Metropolitan,false,false,1116000,328,"Gateway to Northeast"
Agra,Uttar Pradesh,27.1767,78.0081,282001,Agra,false,false,2210000,188.4,"City of Taj"
Varanasi,Uttar Pradesh,25.3176,82.9739,221001,Varanasi,false,false,1435000,112.26,"Banaras,Kashi"
Amritsar,Punjab,31.6340,74.8723,143001,Amritsar,false,false,1323000,139.95,"Holy City"
Mysuru,Karnataka,12.2958,76.6394,570001,Mysuru,false,false,1200000,155.7,"Mysore,City of Palaces"
Udaipur,Rajasthan,24.5854,73.7125,313001,Udaipur,false,false,608000,64,"City of Lakes,Venice of East"
Shimla,Himachal Pradesh,31.1048,77.1734,171001,Shimla,false,true,206000,35.34,"Queen of Hills"
Visakhapatnam,Andhra Pradesh,17.6868,83.2185,530001,Visakhapatnam,false,false,2358000,681.96,"Vizag"
Kochi,Kerala,9.9312,76.2673,682001,Ernakulam,false,false,2119000,94.88,"Cochin,Queen of Arabian Sea"
Mangaluru,Karnataka,12.9141,74.8560,575001,Dakshina Kannada,false,false,724000,184.04,"Mangalore"
Surat,Gujarat,21.1702,72.8311,395001,Surat,false,false,7489000,326.515,"Diamond City"
Coimbatore,Tamil Nadu,11.0168,76.9558,641001,Coimbatore,false,false,2695000,246.75,"Manchester of South India"
Indore,Madhya Pradesh,22.7196,75.8577,452001,Indore,false,false,3380000,530,"Mini Mumbai"
Nagpur,Maharashtra,21.1458,79.0882,440001,Nagpur,false,false,2930000,217.56,"Orange City"
Vadodara,Gujarat,22.3072,73.1812,390001,Vadodara,false,false,2326000,235,"Baroda"
Shillong,Meghalaya,25.5788,91.8933,793001,East Khasi Hills,false,true,375000,64.36,"Scotland of the East"
Imphal,Manipur,24.8170,93.9368,795001,Imphal West,false,true,418000,49.48,"Jewel of India"
Nashik,Maharashtra,19.9975,73.7898,422001,Nashik,false,false,1862000,259.13,"Wine Capital of India"
Patna,Bihar,25.5941,85.1376,800001,Patna,false,true,2049000,136.01,"Pataliputra"
Ranchi,Jharkhand,23.3441,85.3096,834001,Ranchi,false,true,1126000,175.12,"City of Waterfalls"
Raipur,Chhattisgarh,21.2514,81.6296,492001,Raipur,false,true,1123000,226.79,"Rice Bowl of India"
Bhubaneswar,Odisha,20.2961,85.8245,751001,Khordha,false,true,1163000,422,"Temple City"
Dehradun,Uttarakhand,30.3165,78.0322,248001,Dehradun,false,true,803000,196.48,"Doon Valley"
Gangtok,Sikkim,27.3389,88.6065,737101,East Sikkim,false,true,100000,19.2,"Land of Monasteries"
Dispur,Assam,26.1433,91.7898,781005,Kamrup Metropolitan,false,true,957000,30,"Gateway to Seven Sisters"
Itanagar,Arunachal Pradesh,27.0844,93.6053,791111,Papum Pare,false,true,60000,25,"Land of Dawn-Lit Mountains"
Aizawl,Mizoram,23.7367,92.7146,796001,Aizawl,false,true,405000,128,"Highland of India"
Kohima,Nagaland,25.6701,94.1077,797001,Kohima,false,true,270000,90,"Land of Festivals"
Agartala,Tripura,23.8315,91.2868,799001,West Tripura,false,true,522000,76.51,"City of Temples"
Port Blair,Andaman and Nicobar Islands,11.6234,92.7265,744101,South Andaman,false,true,144000,85,"Gateway to Andamans"
Kavaratti,Lakshadweep,10.5669,72.6420,682555,Lakshadweep,false,true,11000,4.22,"Coral Paradise"
Daman,Dadra and Nagar Haveli and Daman and Diu,20.3974,72.8328,396210,Daman,false,true,191000,72,"Portuguese Legacy"
Panaji,Goa,15.4909,73.8278,403001,North Goa,false,true,114000,8.12,"Panjim"
Silvassa,Dadra and Nagar Haveli and Daman and Diu,20.2737,73.0044,396230,Dadra and Nagar Haveli,false,true,98000,491,"Green City"
Puducherry,Puducherry,11.9416,79.8083,605001,Puducherry,false,true,657000,293,"Pondicherry,French Riviera of East"
Noida,Uttar Pradesh,28.5355,77.3910,201301,Gautam Buddha Nagar,false,false,642000,203,"New Okhla Industrial Development Authority"
Gurgaon,Haryana,28.4595,77.0266,122001,Gurgaon,false,false,1514000,738.8,"Gurugram,Millennium City"
